"id","create_uid","create_date","write_date","write_uid","ean13","color","image","price_extra","default_code","name_template","active","variants","image_medium","image_small","product_tmpl_id","price_margin","track_outgoing","track_incoming","valuation","track_production","expense_pdt","income_pdt","available_in_pos","pos_categ_id","to_weight"
"4","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#106","t","\N","\N","\N","4","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"5","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#107","t","\N","\N","\N","5","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"6","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#108","t","\N","\N","\N","6","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"7","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#109","t","\N","\N","\N","7","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"8","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#110","t","\N","\N","\N","8","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"9","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#112","t","\N","\N","\N","9","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"10","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#118","t","\N","\N","\N","10","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"11","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#119","t","\N","\N","\N","11","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"12","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#12","t","\N","\N","\N","12","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"13","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#12/FAJA","t","\N","\N","\N","13","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"14","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#120","t","\N","\N","\N","14","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"15","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#121","t","\N","\N","\N","15","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"16","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#122","t","\N","\N","\N","16","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"17","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#125","t","\N","\N","\N","17","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"18","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#126","t","\N","\N","\N","18","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"19","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#12T","t","\N","\N","\N","19","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"20","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#130","t","\N","\N","\N","20","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"21","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#133","t","\N","\N","\N","21","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"22","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#14","t","\N","\N","\N","22","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"23","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#140","t","\N","\N","\N","23","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"24","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#142","t","\N","\N","\N","24","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"25","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#143","t","\N","\N","\N","25","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"26","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#144","t","\N","\N","\N","26","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"27","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#145","t","\N","\N","\N","27","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
"28","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","\N","0","\N","0.00","\N","#148","t","\N","\N","\N","28","1.00","\N","\N","manual_periodic","\N","\N","\N","t","1","f"
