"id","parent_left","parent_right","create_uid","create_date","write_date","write_uid","name","sequence","parent_id","type"
"3","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","PAP","\N","1","normal"
"4","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","PAR","\N","1","normal"
"5","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","CONS","\N","1","normal"
"6","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","CONT","\N","1","normal"
"7","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","LIB","\N","1","normal"
"8","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","SIR","\N","1","normal"
"9","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","ENCL","\N","1","normal"
"10","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","BOQ","\N","1","normal"
"11","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","MIC","\N","1","normal"
"12","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","FILP","\N","1","normal"
"13","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","MICS","\N","1","normal"
"14","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","MICR","\N","1","normal"
"15","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","AGA","\N","1","normal"
"16","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","DIAC","\N","1","normal"
"17","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","DRI","\N","1","normal"
"18","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","MIX","\N","1","normal"
"19","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","EXT","\N","1","normal"
"20","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","PERI","\N","1","normal"
"21","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","PAD","\N","1","normal"
"22","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","CONE","\N","1","normal"
"23","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","BON","\N","1","normal"
"24","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","CONG","\N","1","normal"
"25","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","BOB","\N","1","normal"
"26","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","BOC","\N","1","normal"
"27","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","PAN","\N","1","normal"
"28","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","SIL","\N","1","normal"
"29","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","RAD","\N","1","normal"
"30","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","ROD","\N","1","normal"
"31","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","TAP","\N","1","normal"
"32","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","TAR","\N","1","normal"
"33","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","SAL","\N","1","normal"
"34","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","JOY","\N","1","normal"
"35","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","PRO","\N","1","normal"
"36","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","ESPO","\N","1","normal"
"37","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","PERN","\N","1","normal"
"38","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","LICU","\N","1","normal"
"39","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","DISI","\N","1","normal"
"40","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","SPL","\N","1","normal"
"41","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","MAR","\N","1","normal"
"42","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","RES","\N","1","normal"
"43","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","TAL","\N","1","normal"
"44","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","PIS","\N","1","normal"
"45","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","BOR","\N","1","normal"
"46","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","INTR","\N","1","normal"
"47","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","REQ","\N","1","normal"
"48","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","GR","\N","1","normal"
"49","1","2","1","2014-03-17 05:11:42.718787","2014-03-17 05:11:42.718787","1","LAM","\N","1","normal"
